Imię i nazwisko,m^2 pow,Gaz,Prąd,Czynsz,Woda,Śmieci
Eliza Migała,124,1940,9948,702,4350,2926
Mariusz Frycz,19,992,1036,1947,7282,2124
Błażej Broniek,62,4205,8154,7241,9605,6375
Kalina Bazela,106,9129,5058,6222,7465,2878
pan Kazimierz Sulik,89,7997,4867,1055,4548,7237
Cezary Glazik,151,7045,6777,2165,3820,1798
pan Kazimierz Dynak,19,3609,1932,6104,1817,3560
Oliwier Nicewicz,108,4256,1840,4826,5364,5476
pan Gustaw Dzierżak,144,2619,9065,3494,554,1626
Sebastian Suchta,25,9729,5911,3842,7516,5684
Mateusz Fedorczyk,99,9908,5010,6834,9926,2283
Sebastian Mironiuk,58,2062,8461,4790,7631,9628
pani Justyna Koczy,24,2538,4087,3440,4537,5393
Adrian Derek,82,8531,8221,4724,6157,2902
Aniela Ścieszka,0,9804,5918,913,1408,1506
Tola Biernacik,39,2283,4676,2372,5190,6263
Monika Sklorz,184,4905,9974,1621,358,9384
Marcel Preś,5,2022,7749,527,8926,5767
Przemysław Dusik,108,8818,2652,167,67,2994
Olga Mostek,79,8458,3487,9659,9530,5432
Bruno Koj,17,3307,1342,6182,5831,5424
Cezary Jakiel,154,1173,7626,6191,6973,7946
Emil Falba,94,3485,5734,1416,4622,3516
Lidia Kutnik,135,792,6280,8980,6330,4257
pan Jakub Oskroba,11,4444,8327,6558,8091,2662
Eryk Jezior,125,7047,2066,7536,3384,8220
Bartek Grzech,2,3061,3518,2710,3305,3921
Olgierd Pieczyrak,99,1499,7102,9386,633,1571
Nicole Dryka,141,3491,6255,4916,6480,3648
pan Nataniel Kontny,168,9936,4815,2530,6562,594
pan Witold Mortka,40,5601,6368,9299,9801,6732
pan Tymon Damian,165,8055,2286,1043,6204,4459
Robert Noculak,83,3708,6598,8188,9688,3919
pani Dorota Machoń,30,6290,8877,8571,451,3802
Grzegorz Łacina,94,1536,6671,6730,8573,8235
pani Olga Wawszczak,135,4438,9788,8841,4713,9538
Ignacy Margol,28,4692,830,9359,3735,6746
Angelika Mejer,139,7827,2201,4924,6659,206
Oskar Buza,75,6730,7578,6340,3006,7673
pani Rozalia Sierżant,88,3718,3065,9545,1955,1156
pani Ewa Goral,174,7451,2292,7824,3380,2416
Rozalia Długajczyk,184,1332,8698,557,1485,2735
pani Karina Miękina,13,7099,7876,7811,1080,8590
Kornelia Huszcza,123,7162,8480,6221,8888,6686
Paweł Parafiniuk,27,7010,537,8546,6590,6949
Aurelia Kamela,127,247,8063,7978,9254,7801
Natan Masłoń,62,3581,5027,3094,7144,2932
Kamil Klupś,56,9596,4196,1040,294,1515
Borys Juśkiewicz,154,8596,3825,3028,4900,3225
pani Ada Dukat,198,6521,1992,4188,4910,1646
